date,site_name,mean_do_mg_l,mean_salinity_ppt,mean_temp_c
2022-09-02,phelps_bridge,4.11,4.2,20.1
2022-09-02,venoco_bridge,0,0,24.95
2022-09-09,phelps_bridge,5.33,4.1,21
2022-09-09,venoco_bridge,0,0,24.6
2022-09-16,phelps_bridge,6.74,4.4,19.9
2022-09-16,venoco_bridge,0,0,24.3
2022-09-23,phelps_bridge,4.87,4.3,20.2
2022-09-23,venoco_bridge,0,0,24.95
2022-09-30,phelps_bridge,4.15,4.3,20.1
2022-09-30,venoco_bridge,0,0,24.9
2022-10-07,phelps_bridge,5.305,4.1,21
2022-10-07,venoco_bridge,0,0,24.75
2022-10-14,phelps_bridge,4.47,3.9,19.5
2022-10-14,venoco_bridge,0,0,22.95
2022-10-21,phelps_bridge,10.7,3.9,21.6
2022-10-21,venoco_bridge,0,0,25.3
2022-10-28,phelps_bridge,9.14,3.9,14.8
2022-10-28,venoco_bridge,0,0,18.1
2022-11-18,east_channel,6.26,13.6,15.4
2022-11-18,phelps_bridge,4.52,1.7,11.2
2022-11-18,venoco_bridge,3.6033333333333335,9.266666666666667,16.5
2022-11-28,east_channel,5.79,22.7,15.1
2022-11-28,phelps_bridge,9.92,2.1,11.3
2022-11-28,venoco_bridge,2.2133333333333334,16.46666666666667,17.2
2022-12-09,east_channel,6.28,3,13.9
2022-12-09,phelps_bridge,7.885,1,12.1
2022-12-09,venoco_bridge,11.9475,11.125,15.075
2023-01-06,east_channel,6.1175,19.625,15.274999999999999
2023-01-06,phelps_bridge,5.253333333333333,10.200000000000001,13.966666666666667
2023-01-06,venoco_bridge,7.816,24.3,13.959999999999999
2023-01-13,east_channel,8.665,23.299999999999997,16.2
2023-01-13,phelps_bridge,8.645,1.8,13.149999999999999
2023-01-13,venoco_bridge,9.98,21.5,15.866666666666667
2023-01-20,east_channel,11.035,21.25,13.2
2023-01-20,phelps_bridge,9.555,2.2,10.2
2023-01-20,venoco_bridge,11.217500000000001,22.05,12.149999999999999
2023-01-30,east_channel,11.63,24,17.3
2023-01-30,phelps_bridge,12.08,2.8,14.1
2023-01-30,venoco_bridge,12.84,29.366666666666667,16.366666666666667
2023-02-03,east_channel,8.73,30.5,15.1
2023-02-03,phelps_bridge,6.57,1.9,9.4
2023-02-03,venoco_bridge,8.583333333333334,30.433333333333334,12.933333333333334
2023-02-10,east_channel,8.65,30.2,15.3
2023-02-10,phelps_bridge,6.57,1.8,10.1
2023-02-10,venoco_bridge,8.5,30.6,12.966666666666667
2023-02-17,east_channel,9.31,32.86666666666667,13.4
2023-02-17,phelps_bridge,11.675,26.1,15.95
2023-02-17,venoco_bridge,10.905,32.9,12.649999999999999
2023-02-24,east_channel,9.266666666666667,32.93333333333334,13.466666666666667
2023-02-24,phelps_bridge,9.68,2.1,13.6
2023-02-24,venoco_bridge,10.98,32.8,12.475
2023-03-03,east_channel,18.75,2.7,17.7
2023-03-03,phelps_bridge,11.1,1.4,13.4
2023-03-03,venoco_bridge,11.793333333333333,26.6,14.433333333333334
2023-03-10,east_channel,18.79,3.9,17.9
2023-03-10,phelps_bridge,11.46,1.5,13.8
2023-03-10,venoco_bridge,11.0525,33,12.625
2023-03-17,east_channel,12.75,32.1,16.8
2023-03-17,phelps_bridge,11.55,1.4,12.4
2023-03-17,venoco_bridge,11.0275,33.025,12.6
2023-03-24,east_channel,9.736666666666666,33.300000000000004,13.733333333333334
2023-03-24,phelps_bridge,11.77,1.5,16.299999999999997
2023-03-24,venoco_bridge,11.0075,32.9,12.475000000000001
2023-04-21,east_channel,10.975,10,23.4
2023-04-21,phelps_bridge,7.695,1.9500000000000002,17.8
2023-04-21,venoco_bridge,14.8775,19.6,25.225
2023-04-28,east_channel,11.005,10.8,22.85
2023-04-28,phelps_bridge,8.1,2.05,18.15
2023-04-28,venoco_bridge,14.2,21.375,24.65
2023-05-05,east_channel,10.75,6.966666666666667,24
2023-05-05,phelps_bridge,7.795,1.6,18.549999999999997
2023-05-05,venoco_bridge,14.8925,15.1,26.599999999999998
2023-05-08,east_channel,10.75,6.966666666666667,24
2023-05-08,venoco_bridge,14.8925,15.1,26.599999999999998
2023-05-12,east_channel,8.573333333333334,9.933333333333334,24.8
2023-05-12,phelps_bridge,10.239999999999998,2,19.45
2023-05-12,venoco_bridge,15.515,17.7,27.55
2023-05-22,east_channel,8.246666666666668,13.166666666666666,20.166666666666668
2023-05-22,phelps_bridge,5.5649999999999995,2.1,16.75
2023-05-22,venoco_bridge,15.375,17.95,25.275
2023-06-05,east_channel,5.996666666666667,14.7,19.7
2023-06-05,phelps_bridge,5.21,2,17
2023-06-05,venoco_bridge,8.4,18.3,23.7
2023-06-12,east_channel,8.323333333333334,12.1,21.766666666666666
2023-06-12,phelps_bridge,6.11,1.6,18.1
2023-06-12,venoco_bridge,10.475,19.175,23.8
2023-06-16,east_channel,9.41,11.899999999999999,19.95
2023-06-16,phelps_bridge,8.6,1.9,18.1
2023-06-16,venoco_bridge,8.845,19.175,24.425
2023-08-11,east_channel,0.32,14.6,24.6
2023-08-11,phelps_bridge,0.495,1.2,21.4
2023-08-11,venoco_bridge,1.4766666666666668,33.5,25.7
2023-08-21,east_channel,0.545,26.85,21.15
2023-08-21,phelps_bridge,0.505,0.6,19.799999999999997
2023-08-21,venoco_bridge,0.4033333333333333,33.766666666666666,23.566666666666666
2023-08-25,east_channel,2.59,27.35,23.8
2023-08-25,phelps_bridge,2.73,1.4,19.4
